Date,Name,Id,Amount,Source
2022-01-18,O'REILLY AUTO PARTS 34 HAYWARD,24431052015838002061105; 05533;,-7.74,Fidelity
2022-01-12,TARGET 00014720 HAYWARD,24164072011091017146603; 05310;,-85.81,Fidelity
2022-01-11,TENNYSON VALERO HAYWARD,24427332010120001142849; 05542;,-21.47,Fidelity
2022-01-10,TARGET 00014225 FREMONT,24164072009091008352677; 05310;,-116.18,Fidelity
2022-01-10,COSTCO WHSE #1061 HAYWARD,24943002010898000159062; 05300;,-63.11,Fidelity
2022-01-10,TARGET 00014720 HAYWARD,24164072009091007337646; 05310;,-80.82,Fidelity
2022-01-10,COSTCO WHSE #1061 HAYWARD,24943002009898000128730; 05300;,-99.52,Fidelity
2022-01-07,7-ELEVEN 34358 SAN DIEGO,24034542006000467798547; 05542;,-29.81,Fidelity
2022-01-07,7-ELEVEN 34358 SAN DIEGO,24034542006000467798497; 05542;,-4.21,Fidelity
2022-01-07,7-ELEVEN 34358 SAN DIEGO,24034542006000467798463; 05542;,-0.42,Fidelity
2022-01-05,MCDONALDS F10996 SAN DIEGO,24427332004740275886736; 05814;,-9.25,Fidelity
2022-01-21,AMZN MKTP US*JS4GE9FB3 AMZN.COM/BILLWA,5.53102E+22,-76.24,Bank of America
2022-01-20,CA DMV FEE 678-7315516 TN,5.54369E+22,-0.82,Bank of America
2022-01-19,STATE OF CALIF DMV INT 800-7770133 CA,5.54369E+22,-39.0,Bank of America
2022-01-12,AMZN MKTP US*S931Z90X3 AMZN.COM/BILLWA,5.53102E+22,-753.08,Bank of America
2022-01-11,AMZN Mktp US*KJ7OI6WC3 Amzn.com/billWA,5.54329E+22,-121.4,Bank of America
2022-01-10,COMCAST CALIFORNIA 800-266-2278 CA,5.54329E+22,-1.0,Bank of America
2022-02-19,AMAZON.COM*1S89M7CF3 A AMZN.COM/BILLWA,5.53102E+22,-127.1,Bank of America
2022-02-17,AMZN MKTP US*1B7FL0K71 AMZN.COM/BILLWA,5.53102E+22,-17.49,Bank of America
2022-02-10,AMAZON.COM*3C8BT42N3 A AMZN.COM/BILLWA,5.53102E+22,-36.14,Bank of America
2022-02-07,AMZN Mktp US*AE7UE7ZX3 Amzn.com/billWA,5.54329E+22,-54.3,Bank of America
2022-02-07,COMCAST CALIFORNIA 800-COMCAST CA,5.54329E+22,-38.99,Bank of America
2022-02-01,PG&E WEBRECURRING 800-743-5000 CA,5.54329E+22,-24.07,Bank of America
2022-01-26,AMAZON.COM*D814V1DP3 A AMZN.COM/BILLWA,5.53102E+22,-121.76,Bank of America
2022-03-07,COMCAST CALIFORNIA 800-COMCAST CA,5.54329E+22,-39.99,Bank of America
2022-03-03,PG&E WEBRECURRING 800-743-5000 CA,5.54329E+22,-59.51,Bank of America
2022-02-22,INTUIT *TURBOTAX CL.INTUIT.COMCA,5.54329E+22,-20.0,Bank of America
2022-04-06,COMCAST CALIFORNIA 800-COMCAST CA,5.54329E+22,-39.99,Bank of America
2022-04-05,AMZN MKTP US*1H11E51P0 AMZN.COM/BILLWA,5.53102E+22,-28.72,Bank of America
2022-03-31,NCAL KAISER ONLINE PAY 8002012123 CA,5.53102E+22,-25.0,Bank of America
2022-03-31,PG&E WEBRECURRING 800-743-5000 CA,5.54329E+22,-58.83,Bank of America
2022-03-22,WASTE MGMT WM EZPAY 8668342080 TX,5.27049E+22,-175.28,Bank of America
2022-05-20,ZEROCATER SAN FRANCISCOCA,8.27112E+22,-2.62,Bank of America
2022-05-20,AMAZON.COM*1R38N4UL1 A AMZN.COM/BILLWA,5.53102E+22,-34.57,Bank of America
2022-05-19,ZEROCATER SAN FRANCISCOCA,8.27112E+22,-4.12,Bank of America
2022-05-18,ZEROCATER SAN FRANCISCOCA,8.27112E+22,-4.52,Bank of America
2022-05-17,ZEROCATER SAN FRANCISCOCA,8.27112E+22,-0.5,Bank of America
2022-05-10,STEAMGAMES.COM 4259522 Bellevue WA,1.52702E+22,-8.98,Bank of America
2022-05-09,AMZN MKTP US*1L3X23J61 AMZN.COM/BILLWA,5.53102E+22,-88.15,Bank of America
2022-05-06,COMCAST CALIFORNIA 800-COMCAST CA,5.54329E+22,-39.99,Bank of America
2022-06-10,ZEROCATER SAN FRANCISCOCA,8.27112E+22,-1.72,Bank of America
2022-06-08,ZEROCATER SAN FRANCISCOCA,8.27112E+22,-6.65,Bank of America
2022-06-07,AMZN MKTP US*JJ6PM3GC3 AMZN.COM/BILLWA,5.53102E+22,-91.54,Bank of America
2022-06-07,AMZN Mktp US*3O90P63Z3 Amzn.com/billWA,5.54329E+22,-0.6,Bank of America
2022-06-06,COMCAST CALIFORNIA 800-COMCAST CA,5.54329E+22,-39.99,Bank of America
2022-06-03,ZEROCATER SAN FRANCISCOCA,8.27112E+22,-1.99,Bank of America
2022-06-02,PG&E WEBRECURRING 800-743-5000 CA,5.54329E+22,-28.76,Bank of America
2022-05-28,ZEROCATER SAN FRANCISCOCA,8.27112E+22,-3.14,Bank of America
2022-05-27,ZEROCATER SAN FRANCISCOCA,8.27112E+22,-1.72,Bank of America
2022-05-26,ZEROCATER SAN FRANCISCOCA,8.27112E+22,-1.04,Bank of America
2022-05-25,ZEROCATER SAN FRANCISCOCA,8.27112E+22,-2.44,Bank of America
2022-05-24,ZEROCATER SAN FRANCISCOCA,8.27112E+22,-0.5,Bank of America
2022-07-11,TST* The FAB San Jose,24692162191100021922578; 05812;,-59.65,Fidelity
2022-07-11,THE TECH INTERACTIVE SAN JOSE,24431062191081958618884; 08398;,-34.0,Fidelity
2022-07-11,COSTCO WHSE #1061 HAYWARD,24943002190898002083288; 05300;,-39.04,Fidelity
2022-07-07,UC DESSERT OAKLAND,24688082187030021671523; 05812;,-10.64,Fidelity
2022-07-06,LAZ PKG 180103 - CENTE BERKELEY,24055222186016288070002; 07523;,-7.5,Fidelity
2022-07-05,ROUND1 AM - SLM CA HAY HAYWARD,24269792186000674648831; 07933;,-22.0,Fidelity
2022-07-05,DIN DING DUMPLING HOUS UNION CIT,24765012185010000084653; 05812;,-79.54,Fidelity
2022-07-05,EAST BAY REG PARK DIST OAKLAND,24013392185000372764020; 09399;,-5.0,Fidelity
2022-07-05,WIPEOUT BAR & GRILL SAN FRANCI,24013392184000288809548; 05812;,-78.28,Fidelity
2022-07-05,IMPARK00270019A SAN FRANCI,24692162184100518659898; 07523;,-6.0,Fidelity
2022-07-05,TARGET 00014720 HAYWARD,24164072184091017336890; 05310;,-22.62,Fidelity
2022-07-05,SQ *SHARETEA HAYWARD Hayward,24692162184100880658742; 05499;,-5.93,Fidelity
2022-07-05,IMPARK00270050A SAN FRANCI,24692162184100539306784; 07523;,-8.0,Fidelity
2022-06-28,COSTCO WHSE #1061 HAYWARD,24943002179898002088720; 05300;,-92.48,Fidelity
2022-06-27,ROUND1 AM - SLM CA HAY HAYWARD,24269792178000806369884; 07933;,-22.0,Fidelity
